,name,party1,party,term_of_office,prop_rep,where,loss,when,fta
0,박진,sn,한 새,3,0,서울특별시,,18대,56
1,나경원,sn,한,2,0,서울특별시,,18대,1
2,진영,sn,한 새,2,0,서울특별시,,18대,4
3,진수희,sn,한 새,2,0,서울특별시,,18대,5
4,김동성,sn,한 새,1,0,서울특별시,,18대,0
5,권택기,sn,한 새,1,0,서울특별시,,18대,0
6,추미애,mj,통 민,3,0,서울특별시,,18대,33
7,장관근,sn,한 새,3,0,서울특별시,1.0,18대,0
8,홍준표,sn,한 새,4,0,서울특별시,,18대,1
9,유정현,sn,한 무,1,0,서울특별시,,18대,3
10,진성호,sn,한 무,1,0,서울특별시,,18대,7
11,정태근,sn,한 무,1,0,서울특별시,,18대,9
12,김효재,sn,한,1,0,서울특별시,,18대,24
13,정양석,sn,한 새,1,0,서울특별시,,18대,7
14,최규식,,통 민,2,0,서울특별시,,18대,1
15,신지호,,한 새,1,0,서울특별시,,18대,0
16,김선동,,한 새,1,0,서울특별시,,18대,78
17,현경병,,한,1,0,서울특별시,1.0,18대,1
18,권영진,,한 새,1,0,서울특별시,,18대,0
19,홍정욱,,한 새,1,0,서울특별시,,18대,91
20,이미경,,통 민,4,0,서울특별시,,18대,11
21,문국현,,창조한국당,1,0,서울특별시,1.0,18대,33
22,이재오,,한 새,4,0,서울특별시,,18대,0
23,이성현,,한 새,2,0,서울특별시,,18대,0
24,정두언,,한 새,2,0,서울특별시,,18대,0
25,강승규,,한 새,1,0,서울특별시,,18대,0
26,강용석,,한 무,1,0,서울특별시,,18대,1
27,원희룡,,한 새,3,0,서울특별시,,18대,0
28,김용태,,한 새,1,0,서울특별시,,18대,0
29,구상찬,,한 새,1,0,서울특별시,,18대,88
30,김성태,,한 새,1,0,서울특별시,,18대,0
31,전여옥,,한 무,2,0,서울특별시,,18대,0
32,권영세,,한 새,3,0,서울특별시,,18대,3
33,이범래,,한 새,1,0,서울특별시,,18대,0
34,박영선,,통 민,2,0,서울특별시,,18대,26
35,안형환,,한 새,1,0,서울특별시,,18대,1
36,전병헌,,통 민,2,0,서울특별시,,18대,14
37,정몽준,,한 새,6,0,서울특별시,,18대,26
38,김성식,,한 무,1,0,서울특별시,,18대,3
39,김희열,,통 무,1,0,서울특별시,,18대,0
40,이혜훈,,한 새,2,0,서울특별시,,18대,2
41,고승덕,,한 새,1,0,서울특별시,,18대,0
42,이종구,,한 새,2,0,서울특별시,,18대,6
43,공성진,,한,2,0,서울특별시,1.0,18대,0
44,박영아,,한 새,1,0,서울특별시,,18대,0
45,유일호,,한 새,1,0,서울특별시,,18대,4
46,김성순,,통 민,2,0,서울특별시,,18대,0
47,김충환,,한 새,2,0,서울특별시,,18대,120
48,윤석용,,한 새,1,0,서울특별시,,18대,4
49,박상은,,한 새,1,0,인천광역시,,18대,8
50,홍일표,,한 새,1,0,인천광역시,,18대,10
51,윤상현,,한 새,1,0,인천광역시,,18대,77
52,황우여,,한 새,4,0,인천광역시,,18대,1
53,이윤성,,한 무,4,0,인천광역시,,18대,11
54,조전혁,,한 새,1,0,인천광역시,,18대,0
55,조진형,,한 새,3,0,인천광역시,,18대,1
56,구본철,,한,1,0,인천광역시,1.0,18대,0
57,홍영표,,민 민,1,0,인천광역시,,18대,6
58,신학용,,통 민,2,0,인천광역시,,18대,3
59,송영길,,통 민,3,0,인천광역시,,18대,3
60,이상권,,한 새,1,0,인천광역시,,18대,15
61,이학재,,한 새,1,0,인천광역시,,18대,3
62,이경재,,무 새,4,0,인천광역시,,18대,1
63,박종희,,한,2,0,경기도,1.0,18대,1
64,이찬열,,민 민,1,0,경기도,,18대,4
65,정미경,,한 무,1,0,경기도,,18대,0
66,남경필,,한 새,4,0,경기도,,18대,120
67,김진표,,통 민,2,0,경기도,,18대,4
68,신영수,,한 새,1,0,경기도,,18대,1
69,신상진,,한 새,2,0,경기도,,18대,7
70,고흥길,,한 새,3,0,경기도,,18대,5
71,임태희,,한,3,0,경기도,,18대,9
72,손학규,,민 민,4,0,경기도,,18대,0
73,문희상,,통 민,4,0,경기도,,18대,0
74,강성종,,통 민,2,0,경기도,1.0,18대,0
75,이종걸,,통 민,3,0,경기도,,18대,4
76,이석현,,통 민,4,0,경기도,,18대,0
77,심재철,,한 새,3,0,경기도,,18대,0
78,임해규,,한 새,2,0,경기도,,18대,0
79,이사철,,한 새,2,0,경기도,,18대,0
80,차명진,,한 새,2,0,경기도,,18대,1
81,원혜영,,통 민,3,0,경기도,,18대,20
82,백재현,,통 민,1,0,경기도,,18대,0
83,전재희,,한 새,3,0,경기도,,18대,13
84,원유철,,한 새,3,0,경기도,,18대,0
85,정장선,,통 민,3,0,경기도,,18대,0
86,김성수,,한 새,1,0,경기도,,18대,45
87,이화수,,한 새,1,0,경기도,,18대,6
88,홍장표,,친 한,1,0,경기도,1.0,18대,4
89,김영환,,민 민,3,0,경기도,,18대,57
90,천정배,,통 민,4,0,경기도,,18대,4
91,박순자,,한 새,2,0,경기도,,18대,3
92,손범규,,한 새,1,0,경기도,,18대,0
93,김태원,,한 새,1,0,경기도,,18대,4
94,백성운,,한 새,1,0,경기도,,18대,0
95,김영선,,한 새,4,0,경기도,,18대,6
96,안상수,,한 새,4,0,경기도,,18대,13
97,주광덕,,한 새,1,0,경기도,,18대,1
98,최재성,,통 민,2,0,경기도,,18대,32
99,박기춘,,통 민,2,0,경기도,,18대,0
100,안민석,,통 민,2,0,경기도,,18대,0
101,김성회,,한 새,1,0,경기도,,18대,14
102,박보환,,한 새,1,0,경기도,,18대,0
103,백원우,,통 민,2,0,경기도,,18대,0
104,조정식,,통 민,2,0,경기도,,18대,12
105,김부겸,,통 민,3,0,경기도,,18대,1
106,문학진,,통 민,2,0,경기도,,18대,31
107,황진하,,한 새,2,0,경기도,,18대,76
108,우제창,,통 민,2,0,경기도,,18대,0
109,박준선,,한 새,1,0,경기도,,18대,1
110,한선교,,무 새,2,0,경기도,,18대,9
111,김학용,,한 새,1,0,경기도,,18대,21
112,유정복,,한 새,2,0,경기도,,18대,22
113,정진섭,,한 무,2,0,경기도,,18대,3
114,김영우,,한 새,1,0,경기도,,18대,30
115,이범관,,한 새,1,0,경기도,,18대,11
116,정병국,,한 새,3,0,경기도,,18대,5
117,허천,,한 무,2,0,강원도,,18대,0
118,이계진,,한,2,0,강원도,,18대,11
119,박우순,,민 민,1,0,강원도,,18대,0
120,최욱철,,무,2,0,강원도,1.0,18대,0
121,권성동,,한 새,1,0,강원도,,18대,11
122,최연희,,무,4,0,강원도,,18대,4
123,송훈석,,무 민,3,0,강원도,,18대,20
124,황영철,,한 새,1,0,강원도,,18대,48
125,이광재,,통 민,2,0,강원도,,18대,3
126,최종원,,민 민,1,0,강원도,,18대,6
127,이용삼,,통 민,4,0,강원도,,18대,0
128,한기호,,한 새,1,0,강원도,,18대,0
129,홍재형,,통 민,3,0,충청북도,,18대,9
130,오재세,,통 민,2,0,충청북도,,18대,0
131,노영민,,통 민,2,0,충청북도,,18대,17
132,이시종,,통 민,2,0,충청북도,,18대,1
133,윤진식,,한 새,1,0,충청북도,,18대,0
134,송광호,,한 새,3,0,충청북도,,18대,0
135,변재일,,통 민,2,0,충청북도,,18대,3
136,이용희,,자 민,5,0,충청북도,,18대,5
137,김종률,,통 민,2,0,충청북도,,18대,2
138,정범구,,민 민,2,0,충청북도,,18대,21
139,임영호,,자,1,0,대전광역시,,18대,1
140,권선택,,자,2,0,대전광역시,,18대,2
141,박병석,,통 민,3,0,대전광역시,,18대,1
142,이재선,,자,3,0,대전광역시,,18대,4
143,이상민,,자 민,2,0,대전광역시,,18대,0
144,김창수,,자 무,1,0,대전광역시,,18대,0
145,양승조,,통 민,2,0,충청남도,,18대,30
146,박상돈,,자,2,0,충청남도,,18대,0
147,김호연,,한 새,1,0,충청남도,,18대,5
148,심대평,,자 ,2,0,충청남도,,18대,0
149,류근찬,,자,2,0,충청남도,,18대,31
150,이명수,,자,1,0,충청남도,,18대,0
151,변웅전,,자,3,0,충청남도,,18대,0
152,이인제,,무 자,5,0,충청남도,,18대,0
153,이진삼,,자 무,1,0,충청남도,,18대,0
154,이회창,,자 무,3,0,충청남도,,18대,14
155,김낙성,,자,2,0,충청남도,,18대,1
156,이무영,,무,1,0,전라북도,1.0,18대,0
157,신건,,무,1,0,전라북도,,18대,0
158,장세환,,통 민,1,0,전라북도,,18대,0
159,김세웅,,통 민,1,0,전라북도,1.0,18대,0
160,정동영,,무 민,3,0,전라북도,,18대,65
161,강봉균,,통 무,3,0,전라북도,,18대,44
