,name,party1,party,term_of_office,prep-rep,where,loss,when,fta
0,정세균,,민 더,5.0,0,서울특별시,,19대,23
1,정호준,,민 국,1.0,0,서울특별시,,19대,1
2,진영,,새 더,3.0,0,서울특별시,,19대,0
3,최재천,,민 무,2.0,0,서울특별시,,19대,21
4,홍익표,,민 더,1.0,0,서울특별시,,19대,76
5,김한길,,민 국,4.0,0,서울특별시,,19대,0
6,추미애,,민 더,4.0,0,서울특별시,,19대,25
7,안규백,,민 더,2.0,0,서울특별시,,19대,0
8,민병두,,민 더,2.0,0,서울특별시,,19대,0
9,서영교,,민 더,1.0,0,서울특별시,,19대,3
10,박홍근,,민 더,1.0,0,서울특별시,,19대,2
11,유승희,,민 더,2.0,0,서울특별시,,19대,2
12,신계륜,,민 더,4.0,0,서울특별시,,19대,4
13,오영식,,민 더,3.0,0,서울특별시,,19대,19
14,유대운,,민 더,1.0,0,서울특별시,,19대,0
15,인재근,,민 더,1.0,0,서울특별시,,19대,1
16,유인태,,민 더,3.0,0,서울특별시,,19대,0
17,이노근,,새 더,1.0,0,서울특별시,,19대,0
18,우원식,,민 더,2.0,0,서울특별시,,19대,0
19,노회찬,,통 진,2.0,0,서울특별시,,19대,0
20,안철수,,무 국,1.0,0,서울특별시,,19대,0
21,이미경,,민 더,5.0,0,서울특별시,,19대,0
22,이재오,,새 무,5.0,0,서울특별시,,19대,11
23,우상호,,민 더,2.0,0,서울특별시,,19대,8
24,정두언,,새 ,3.0,0,서울특별시,,19대,1
25,노웅래,,민 더,2.0,0,서울특별시,,19대,0
26,정청래,,민 더,2.0,0,서울특별시,,19대,5
27,길정우,,새,1.0,0,서울특별시,,19대,55
28,김용태,,새,2.0,0,서울특별시,,19대,0
29,신기남,,민 민,4.0,0,서울특별시,,19대,0
30,김성태,,새,2.0,0,서울특별시,,19대,0
31,이인영,,민 더,2.0,0,서울특별시,,19대,6
32,박영선,,민 더,3.0,0,서울특별시,,19대,0
33,이목희,,민 더,2.0,0,서울특별시,,19대,0
34,김영주,,민 더,2.0,0,서울특별시,,19대,1
35,신경님,,민 더,1.0,0,서울특별시,,19대,0
36,전병헌,,민 더,3.0,0,서울특별시,,19대,0
37,정몽준,,새,7.0,0,서울특별시,,19대,0
38,나경원,,새,3.0,0,서울특별시,,19대,29
39,유기홍,,민 더,2.0,0,서울특별시,,19대,0
40,이상규,,통진,1.0,0,서울특별시,,19대,5
41,오신환,,새,1.0,0,서울특별시,,19대,0
42,김회선,,새,1.0,0,서울특별시,,19대,3
43,강석훈,,새,1.0,0,서울특별시,,19대,1
44,심윤조,,새,1.0,0,서울특별시,,19대,25
45,김종훈,,새,1.0,0,서울특별시,,19대,17
46,박인숙,,새,1.0,0,서울특별시,,19대,0
47,유일호,,새,2.0,0,서울특별시,,19대,0
48,김을동,,새,2.0,0,서울특별시,,19대,3
49,신동우,,새,1.0,0,서울특별시,,19대,0
50,심재권,,민 더,2.0,0,서울특별시,,19대,27
51,박상은,,새,2.0,0,인천광역시,1.0,19대,11
52,홍일표,,새,2.0,0,인천광역시,,19대,29
53,윤상현,,새 무,2.0,0,인천광역시,,19대,1
54,황우여,,새,5.0,0,인천광역시,,19대,0
55,박남춘,,민 더,1.0,0,인천광역시,,19대,0
56,윤관석,,민 더,1.0,0,인천광역시,,19대,0
57,문병호,,민 국,2.0,0,인천광역시,,19대,0
58,홍영표,,민 더,2.0,0,인천광역시,,19대,20
59,신학용,,민 국,3.0,0,인천광역시,,19대,0
60,최원석,,민 국,1.0,0,인천광역시,,19대,0
61,이학재,,새,2.0,0,인천광역시,,19대,0
62,안덕수,,새,1.0,0,인천광역시,1.0,19대,9
63,안상수,,새 무,2.0,0,인천광역시,,19대,2
64,이찬열,,민 더,2.0,0,경기도,,19대,0
65,신장용,,민 민,1.0,0,경기도,1.0,19대,0
66,정미경,,새,2.0,0,경기도,,19대,0
67,남경필,,새,5.0,0,경기도,,19대,1
68,김용남,,새,1.0,0,경기도,,19대,1
69,김진표,,민 새,3.0,0,경기도,,19대,1
70,박광온,,새 더,1.0,0,경기도,,19대,0
71,김태년,,민 더,2.0,0,경기도,,19대,0
72,김미희,,통진,1.0,0,경기도,2.0,19대,7
73,신상진,,새,3.0,0,경기도,,19대,0
74,이종훈,,새,1.0,0,경기도,,19대,2
75,전하진,,새,1.0,0,경기도,,19대,2
76,문희상,,민 더,5.0,0,경기도,,19대,1
77,홍문종,,새,3.0,0,경기도,,19대,0
78,이종걸,,민 더,4.0,0,경기도,,19대,3
79,이석현,,민 더,5.0,0,경기도,,19대,0
80,심재철,,새,4.0,0,경기도,,19대,5
81,김경협,,민 더,1.0,0,경기도,,19대,0
82,설훈,,민 더,3.0,0,경기도,,19대,1
83,김상희,,민 더,2.0,0,경기도,,19대,0
84,원혜영,,민 더,4.0,0,경기도,,19대,18
85,백재현,,민 더,2.0,0,경기도,,19대,13
86,이언주,,민 더,1.0,0,경기도,,19대,3
87,원유철,,새,4.0,0,경기도,,19대,2
88,이재영,,새,1.0,0,경기도,1.0,19대,0
89,유의동,,새,1.0,0,경기도,,19대,0
90,정성호,,민 더,2.0,0,경기도,,19대,4
91,전해철,,민 더,1.0,0,경기도,,19대,1
92,김영환,,민 국,4.0,0,경기도,,19대,0
93,김명연,,새,1.0,0,경기도,,19대,0
94,부좌현,,민 국,1.0,0,경기도,,19대,27
95,심상정,,통진 정,2.0,0,경기도,,19대,1
96,김태원,,새,2.0,0,경기도,,19대,0
97,유은혜,,민 더,1.0,0,경기도,,19대,0
98,김현미,,민 더,2.0,0,경기도,,19대,2
99,송호창,,민 더,1.0,0,경기도,,19대,0
100,윤호중,,민 더,2.0,0,경기도,,19대,0
101,최재성,,민 더,3.0,0,경기도,,19대,0
102,박기춘,,민 무,3.0,0,경기도,,19대,1
103,안민석,,민 더,3.0,0,경기도,,19대,4
104,고희선,,새 ,2.0,0,경기도,3.0,19대,1
105,서청원,,새,7.0,0,경기도,,19대,0
106,이원욱,,민 더,1.0,0,경기도,,19대,38
107,함진규,,새,1.0,0,경기도,,19대,2
108,조정식,,민 더,3.0,0,경기도,,19대,1
109,이학영,,민 더,1.0,0,경기도,,19대,0
110,이현재,,새,1.0,0,경기도,,19대,25
111,윤후덕,,민 더,1.0,0,경기도,,19대,0
112,황진하,,새,3.0,0,경기도,,19대,0
113,유승우,,새 무,1.0,0,경기도,,19대,27
114,이우현,,새 ,1.0,0,경기도,,19대,1
115,김민기,,민 더,1.0,0,경기도,,19대,0
116,한선교,,새,3.0,0,경기도,,19대,0
117,김학용,,새,2.0,0,경기도,,19대,1
118,유정복,,새,3.0,0,경기도,,19대,0
119,홍철호,,새,1.0,0,경기도,,19대,0
120,노철래,,새,2.0,0,경기도,,19대,0
121,김영우,,새,2.0,0,경기도,,19대,8
122,정병국,,새,4.0,0,경기도,,19대,13
123,김진태,,새,1.0,0,강원도,,19대,0
124,김기선,,새,1.0,0,강원도,,19대,0
125,이강후,,새,1.0,0,강원도,,19대,18
126,권성동,,새,2.0,0,강원도,,19대,0
127,이이재,,새,1.0,0,강원도,,19대,11
128,정문현,,새,2.0,0,강원도,,19대,0
129,염동열,,새,1.0,0,강원도,,19대,1
130,황영철,,새,2.0,0,강원도,,19대,7
131,한기호,,새,2.0,0,강원도,,19대,0
132,정우택,,새,3.0,0,충청북도,,19대,4
133,오제세,,민 더,3.0,0,충청북도,,19대,1
134,노영민,,민 더,3.0,0,충청북도,,19대,7
135,윤진식,,새,2.0,0,충청북도,,19대,0
136,이종배,,새,1.0,0,충청북도,,19대,18
137,송광호,,새,4.0,0,충청북도,1.0,19대,1
138,변재일,,민 더,3.0,0,충청북도,,19대,2
139,박덕흠,,새,1.0,0,충청북도,,19대,1
140,경대수,,새,1.0,0,충청북도,,19대,40
141,이장우,,새,1.0,0,대전광역시,,19대,0
142,강창희,,새,6.0,0,대전광역시,,19대,1
143,박병석,,민 더,4.0,0,대전광역시,,19대,0
144,박범계,,민 더,1.0,0,대전광역시,,19대,1
145,이상민,,민 더,3.0,0,대전광역시,,19대,12
146,박성효,,새 ,1.0,0,대전광역시,,19대,0
147,정용기,,새,1.0,0,대전광역시,,19대,0
148,이해찬,,민 무,6.0,0,세종특별자치시,,19대,12
149,양승조,,민 더,3.0,0,충청남도,,19대,0
150,박완주,,민 더,1.0,0,충청남도,,19대,39
151,박수현,,민 더,1.0,0,충청남도,,19대,0
152,김태흠,,새,1.0,0,충청남도,,19대,2
153,이명수,,자 새,2.0,0,충청남도,,19대,3
154,성완종,,자 새,1.0,0,충청남도,1.0,19대,2
155,김제식,,새,1.0,0,충청남도,,19대,0
156,이인제,,자 새,6.0,0,충청남도,,19대,9
157,김동완,,새,1.0,0,충청남도,,19대,28
158,김근태,,새,1.0,0,충청남도,1.0,19대,8
159,이완구,,새,3.0,0,충청남도,,19대,0
160,홍문표,,새,2.0,0,충청남도,,19대,74
161,김윤덕,,민 더,1.0,0,전라북도,,19대,1
162,이상직,,민 더,1.0,0,전라북도,,19대,11
163,김성주,,민 더,1.0,0,전라북도,,19대,1
164,김관영,,민 국,1.0,0,전라북도,,19대,3
165,이춘석,,민 더,2.0,0,전라북도,,19대,5
166,전정희,,민 국,1.0,0,전라북도,,19대,39
167,유성엽,,무 국,2.0,0,전라북도,,19대,38
168,강동원,,통진 무,1.0,0,전라북도,,19대,0
169,최규성,,민 더,3.0,0,전라북도,,19대,38
170,박민수,,민 더,1.0,0,전라북도,,19대,37
171,김춘진,,민 더,3.0,0,전라북도,,19대,37
172,박주선,,무 국,3.0,0,광주광역시,,19대,6
173,박혜자,,민 더,1.0,0,광주광역시,,19대,0
174,오병윤,,통진,1.0,0,광주광역시,,19대,2
175,천정배,,무 국,5.0,0,광주광역시,,19대,0
176,장병완,,민 국,2.0,0,광주광역시,,19대,0
177,강기정,,민 더,3.0,0,광주광역시,,19대,0
178,임내현,,민 국,1.0,0,광주광역시,,19대,1
179,김동철,,민 국,3.0,0,광주광역시,,19대,69
180,이용섭,,민 무,2.0,0,광주광역시,,19대,2
181,권은희,,새 국,1.0,0,광주광역시,,19대,0
182,박지원,,민 국,3.0,0,전라남도,,19대,3
183,김성곤,,민 더,4.0,0,전라남도,,19대,17
184,주승용,,민 국,3.0,0,전라남도,,19대,7
185,김선동,,통진,2.0,0,전라남도,1.0,19대,30
186,이정현,,새,2.0,0,전라남도,,19대,13
187,배기운,,민 새,2.0,0,전라남도,1.0,19대,6
188,신정훈,,새 더,1.0,0,전라남도,,19대,14
189,우윤근,,민 더,3.0,0,전라남도,,19대,13
190,김승남,,민 더,1.0,0,전라남도,,19대,43
191,황주홍,,민 국,1.0,0,전라남도,,19대,10
192,김영록,,민 더,2.0,0,전라남도,,19대,65
193,이윤석,,민 무,2.0,0,전라남도,,19대,3
194,이낙연,,민 새,4.0,0,전라남도,,19대,1
195,이개호,,새 더,1.0,0,전라남도,,19대,0
196,김희국,,새,1.0,0,대구광역시,,19대,0
197,류성걸,,새 무,1.0,0,대구광역시,,19대,3
198,유승민,,새 무,3.0,0,대구광역시,,19대,5
199,김상훈,,새,1.0,0,대구광역시,,19대,31
200,권은희,,새 무,1.0,0,대구광역시,,19대,0
201,서상기,,새,3.0,0,대구광역시,,19대,1
202,이한구,,새,4.0,0,대구광역시,,19대,0
203,주호영,,새 무,3.0,0,대구광역시,,19대,1
204,홍지만,,새,1.0,0,대구광역시,,19대,16
205,윤재옥,,새,1.0,0,대구광역시,,19대,0
206,조원진,,새,2.0,0,대구광역시,,19대,1
207,이종진,,새,1.0,0,대구광역시,,19대,1
208,이병석,,새,4.0,0,경상북도,,19대,1
209,김형태,,새 무,1.0,0,경상북도,1.0,19대,0
210,박명재,,새,1.0,0,경상북도,,19대,3
211,정수성,,새,2.0,0,경상북도,,19대,17
212,이철우,,새,2.0,0,경상북도,,19대,0
213,김광림,,새,2.0,0,경상북도,,19대,7
214,심학봉,,새 무,1.0,0,경상북도,1.0,19대,6
215,김태환,,새 무,3.0,0,경상북도,,19대,2
216,장윤석,,새,3.0,0,경상북도,,19대,17
217,정희수,,새,3.0,0,경상북도,,19대,2
218,김종태,,새,1.0,0,경상북도,,19대,38
219,이한성,,새,2.0,0,경상북도,,19대,9
220,최경환,,새,3.0,0,경상북도,,19대,15
221,이완영,,새,1.0,0,경상북도,,19대,3
222,김재원,,새,2.0,0,경상북도,,19대,2
223,강석호,,새,2.0,0,경상북도,,19대,0
224,정의화,,새,5.0,0,부산광역시,,19대,3
225,유기준,,새,3.0,0,부산광역시,,19대,27
226,이재균,,새,1.0,0,부산광역시,1.0,19대,0
227,김무성,,새,5.0,0,부산광역시,,19대,0
228,나성린,,새,2.0,0,부산광역시,,19대,1
229,이헌승,,새,1.0,0,부산광역시,,19대,0
230,이진복,,새,2.0,0,부산광역시,,19대,30
231,김정훈,,새,3.0,0,부산광역시,,19대,0
232,서용교,,새,1.0,0,부산광역시,,19대,0
233,박민식,,새,2.0,0,부산광역시,,19대,1
234,김도읍,,새,1.0,0,부산광역시,,19대,5
235,서병수,,새,4.0,0,부산광역시,,19대,0
236,배덕광,,새,1.0,0,부산광역시,,19대,0
237,하태경,,새,1.0,0,부산광역시,,19대,1
238,문대성,,새,1.0,0,부산광역시,,19대,0
239,조경태,,민 새,3.0,0,부산광역시,,19대,31
240,김세연,,새,2.0,0,부산광역시,,19대,6
241,김희정,,새,2.0,0,부산광역시,,19대,0
242,유재중,,새,2.0,0,부산광역시,,19대,0
243,문재인,,민 더,1.0,0,부산광역시,,19대,0
244,정갑윤,,새,4.0,0,울산광역시,,19대,0
245,이채익,,새,1.0,0,울산광역시,,19대,17
246,김기현,,새,3.0,0,울산광역시,,19대,0
247,박맹우,,새,1.0,0,울산광역시,,19대,8
248,안효대,,새,2.0,0,울산광역시,,19대,23
249,박대동,,새,1.0,0,울산광역시,,19대,0
250,강길부,,새 무,3.0,0,울산광역시,,19대,0
251,박성호,,새,1.0,0,경상남도,,19대,0
252,강기윤,,새,1.0,0,경상남도,,19대,0
253,이주영,,새,4.0,0,경상남도,,19대,29
254,안홍준,,새,3.0,0,경상남도,,19대,9
255,김성찬,,새,1.0,0,경상남도,,19대,0
256,박대출,,새,1.0,0,경상남도,,19대,0
257,김재경,,새,3.0,0,경상남도,,19대,0
258,이군현,,새,3.0,0,경상남도,,19대,0
259,여상규,,새,2.0,0,경상남도,,19대,16
260,민홍철,,민 더,1.0,0,경상남도,,19대,0
261,김태호,,새,2.0,0,경상남도,,19대,8
262,조해진,,새 무,2.0,0,경상남도,,19대,4
263,김한표,,무 새,1.0,0,경상남도,,19대,36
264,윤영석,,새,1.0,0,경상남도,,19대,3
265,조현룡,,새,1.0,0,경상남도,1.0,19대,1
266,신성범,,새,2.0,0,경상남도,,19대,10
267,강창일,,민 더,3.0,0,제주특별자치도,,19대,43
268,김우남,,민 더,3.0,0,제주특별자치도,,19대,49
269,김재윤,,민 새,3.0,0,제주특별자치도,1.0,19대,19
270,민병주,sn,새,1.0,1,비례대표,,19대,0
271,김정록,,새,1.0,1,비례대표,,19대,0
272,윤명희,,새,1.0,1,비례대표,,19대,32
